Age_ka,Depth_top_m,Depth_bottom_m,Ca_ppb,Age_b2k,CV_Ca,eta
18.55,1694.41,0.377,190.72,18550.0,0.19955028272268135,1.0892354806285582
18.57,1694.92,0.378,182.22,18570.0,0.19805682869113314,1.0866966087749264
18.59,1695.36,0.38,188.16,18590.0,0.19477193465810108,1.0811122889187719
18.61,1695.82,0.38,187.19,18610.0,0.18533063790906326,1.0650620844454075
18.63,1696.29,0.381,175.4,18630.0,0.17791063745282348,1.0524480836698
18.65,1696.74,0.381,213.7,18650.0,0.17688888680905474,1.050711107575393
18.67,1697.18,0.382,213.86,18670.0,0.17725310443843614,1.0513302775453415
18.69,1697.67,0.383,213.82,18690.0,0.17893397864603336,1.0541877636982568
18.71,1698.13,0.384,223.59,18710.0,0.1848806928551472,1.0642971778537502
18.73,1698.59,0.384,172.86,18730.0,0.1905523547571923,1.073939003087227
18.75,1699.01,0.386,171.22,18750.0,0.1922671313691277,1.076854123327517
18.77,1699.51,0.387,200.77,18770.0,0.19277889999762313,1.0777241299959592
18.79,1700.0,0.389,184.97,18790.0,0.18994302317325346,1.0729031393945307
18.81,1700.51,0.389,156.09,18810.0,0.18945503275302816,1.072073555680148
18.83,1700.94,0.39,163.82,18830.0,0.18853006141752038,1.0705011044097845
18.85,1701.38,0.392,188.96,18850.0,0.18913719012892904,1.0715332232191794
18.87,1701.82,0.393,328.26,18870.0,0.18855346759106587,1.0705408949048119
